ExitTime,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,Tag,Duration,equity
2022-10-17 10:30:00,-45,2412,2580,12294.603515625,11036.5361328125,56613.0322265625,0.10232679575340875,2022-09-13 10:30:00,,34 days 00:00:00,332501.138671875
2022-10-20 14:30:00,60,2602,2605,11218.419921875,11013.8427734375,-12274.62890625,-0.01823582553177483,2022-10-20 11:30:00,,0 days 03:00:00,320226.509765625
2022-10-20 14:30:00,15,2580,2605,11036.5361328125,11013.8427734375,-340.400390625,-0.0020562030606261494,2022-10-17 10:30:00,,3 days 04:00:00,319886.109375
2022-11-01 12:30:00,58,2646,2659,11488.7392578125,11304.21484375,-10702.416015625,-0.016061328394847196,2022-10-28 13:30:00,,3 days 23:00:00,309183.693359375
2022-11-01 12:30:00,58,2612,2659,11249.3134765625,11304.21484375,3184.279296875,0.004880419351979581,2022-10-21 14:30:00,,10 days 22:00:00,312367.97265625
2022-11-10 09:30:00,-58,2702,2705,10882.8154296875,11355.1630859375,-27396.1640625,-0.04340307517864095,2022-11-09 13:30:00,,0 days 20:00:00,284971.80859375
2022-11-30 15:30:00,51,2764,2798,11625.5712890625,11993.3193359375,18755.150390625,0.031632686061714876,2022-11-22 12:30:00,,8 days 03:00:00,303726.958984375
2022-12-06 12:30:00,54,2797,2816,11891.314453125,11586.4521484375,-16462.564453125,-0.02563739323261971,2022-11-30 14:30:00,,5 days 22:00:00,287264.39453125
2022-12-06 12:30:00,51,2706,2816,11390.3623046875,11586.4521484375,10000.58203125,0.01721541760522416,2022-11-10 10:30:00,,26 days 02:00:00,297264.9765625
2022-12-15 10:30:00,51,2847,2863,11674.6572265625,11437.0126953125,-12119.87109375,-0.020355589602177315,2022-12-12 15:30:00,,2 days 19:00:00,285145.10546875
2022-12-15 10:30:00,52,2828,2863,11639.4091796875,11437.0126953125,-10524.6171875,-0.01738889674299038,2022-12-08 10:30:00,,7 days 00:00:00,274620.48828125
2022-12-21 10:30:00,-51,2885,2891,11011.669921875,11187.9580078125,-8990.6923828125,-0.0160092054328016,2022-12-20 11:30:00,,0 days 23:00:00,265629.7958984375
2022-12-29 10:30:00,-48,2899,2926,10913.0068359375,10907.779296875,250.921875,0.00047901913204029256,2022-12-22 11:30:00,,6 days 23:00:00,265880.7177734375
2023-01-03 09:30:00,-1,2899,2939,10913.0068359375,11050.2353515625,-137.228515625,-0.012574766761172862,2022-12-22 11:30:00,,11 days 22:00:00,265743.4892578125
2023-01-04 11:30:00,-50,2942,2948,10794.9482421875,10917.552734375,-6130.224609375,-0.011357580364151465,2023-01-03 12:30:00,,0 days 23:00:00,259613.2646484375
2023-01-06 11:30:00,-49,2955,2962,10769.02734375,10909.4111328125,-6878.8056640625,-0.01303588379724685,2023-01-05 11:30:00,,1 days 00:00:00,252734.458984375
2023-01-23 10:30:00,47,2962,3031,10909.4111328125,11848.2734375,44126.5283203125,0.08605985174247044,2023-01-06 11:30:00,,16 days 23:00:00,296860.9873046875
2023-01-27 11:30:00,48,2982,3060,11312.458984375,12169.412109375,41133.75,0.0757530370880144,2023-01-11 10:30:00,,16 days 01:00:00,337994.7373046875
2023-02-02 09:30:00,49,3003,3086,11590.146484375,12655.365234375,52195.71875,0.09190727239177265,2023-01-17 10:30:00,,15 days 23:00:00,390190.4560546875
2023-02-02 13:30:00,57,3053,3090,11887.54296875,12873.787109375,56215.916015625,0.08296450689748425,2023-01-26 11:30:00,,7 days 02:00:00,446406.3720703125
2023-02-09 14:30:00,75,3114,3126,12680.083984375,12389.484375,-21794.970703125,-0.022917798473029882,2023-02-08 09:30:00,,1 days 05:00:00,424611.4013671875
2023-02-21 10:30:00,71,3137,3171,12482.1953125,12154.619140625,-23257.908203125,-0.026243474298704217,2023-02-13 11:30:00,,7 days 23:00:00,401353.4931640625
2023-02-21 10:30:00,65,3084,3171,12099.8017578125,12154.619140625,3563.1298828125,0.004530436441002594,2023-02-01 14:30:00,,19 days 20:00:00,404916.623046875
2023-02-27 10:30:00,-68,3194,3199,11947.1630859375,12130.130859375,-12441.80859375,-0.015314746448289673,2023-02-24 12:30:00,,2 days 22:00:00,392474.814453125
2023-03-01 10:30:00,65,3199,3213,12130.130859375,11950.6455078125,-11666.5478515625,-0.014796654186445268,2023-02-27 10:30:00,,2 days 00:00:00,380808.2666015625
2023-03-09 14:30:00,64,3256,3259,12273.7353515625,12086.6064453125,-11976.25,-0.015246288182853562,2023-03-09 11:30:00,,0 days 03:00:00,368832.0166015625
2023-03-09 14:30:00,64,3224,3259,12024.3984375,12086.6064453125,3981.3125,0.005173481911452171,2023-03-02 14:30:00,,7 days 00:00:00,372813.3291015625
2023-03-31 10:30:00,59,3314,3367,12672.9453125,13053.5419921875,22455.2041015625,0.030032219843330044,2023-03-21 13:30:00,,9 days 21:00:00,395268.533203125
2023-03-31 11:30:00,59,3354,3368,12777.248046875,13102.90625,19213.833984375,0.025487350791835617,2023-03-29 11:30:00,,2 days 00:00:00,414482.3671875
2023-04-10 09:30:00,64,3399,3401,13071.00390625,12889.5771484375,-11611.3125,-0.013880093611306266,2023-04-06 14:30:00,,3 days 19:00:00,402871.0546875
2023-04-10 13:30:00,-63,3402,3405,12888.1083984375,13022.9833984375,-8497.125,-0.010465073370763411,2023-04-10 10:30:00,,0 days 03:00:00,394373.9296875
2023-04-12 10:30:00,60,3413,3416,13016.9560546875,12908.720703125,-6494.12109375,-0.00831495098452939,2023-04-11 14:30:00,,0 days 20:00:00,387879.80859375
2023-04-12 11:30:00,58,3416,3417,13011.90234375,12919.841796875,-5339.51171875,-0.007075102813019485,2023-04-12 10:30:00,,0 days 01:00:00,382540.296875
2023-04-12 11:30:00,61,3406,3417,13030.119140625,12919.841796875,-6726.91796875,-0.008463264422976735,2023-04-10 14:30:00,,1 days 21:00:00,375813.37890625
2023-04-19 09:30:00,57,3443,3450,13179.7568359375,12990.443359375,-10790.8681640625,-0.014363958221618733,2023-04-18 09:30:00,,1 days 00:00:00,365022.5107421875
2023-04-20 09:30:00,56,3454,3457,13112.9208984375,12962.25,-8437.5703125,-0.011490262131868212,2023-04-19 13:30:00,,0 days 20:00:00,356584.9404296875
2023-04-24 11:30:00,58,3424,3473,13026.3955078125,12896.1064453125,-7556.765625,-0.010001927426651513,2023-04-13 11:30:00,,11 days 00:00:00,349028.1748046875
2023-05-17 12:30:00,53,3536,3593,13205.9111328125,13535.34375,17459.9287109375,0.024945845377451148,2023-05-05 11:30:00,,12 days 01:00:00,366488.103515625
2023-05-26 09:30:00,52,3561,3639,13370.4384765625,14112.53125,38588.82421875,0.05550250088943165,2023-05-10 15:30:00,,15 days 18:00:00,405076.927734375
2023-05-26 10:30:00,53,3557,3640,13305.880859375,14175.826171875,46107.1015625,0.06538051269916934,2023-05-10 11:30:00,,15 days 23:00:00,451184.029296875
2023-06-12 14:30:00,67,3702,3714,14568.9052734375,14702.712890625,8965.1103515625,0.009184466140462977,2023-06-09 09:30:00,,3 days 05:00:00,460149.1396484375
2023-06-13 09:30:00,60,3634,3716,13926.0146484375,14909.115234375,58986.03515625,0.07059453912378322,2023-05-25 11:30:00,,18 days 22:00:00,519135.1748046875
2023-06-26 11:30:00,73,3764,3774,14986.2783203125,14789.4072265625,-14371.58984375,-0.01313675680793669,2023-06-22 15:30:00,,3 days 20:00:00,504763.5849609375
2023-07-12 09:30:00,70,3783,3845,14905.9921875,15359.1630859375,31721.962890625,0.0304019278111205,2023-06-27 13:30:00,,14 days 20:00:00,536485.5478515625
2023-07-17 14:30:00,67,3668,3871,14492.81640625,15733.001953125,83092.431640625,0.08557243203192533,2023-06-02 10:30:00,,45 days 04:00:00,619577.9794921875
2023-07-18 12:30:00,74,3730,3876,14948.6982421875,15799.9052734375,62989.3203125,0.05694188333053396,2023-06-15 09:30:00,,33 days 03:00:00,682567.2998046875
2023-07-20 10:30:00,86,3878,3888,15865.9619140625,15630.9970703125,-20206.9765625,-0.014809366430014181,2023-07-18 14:30:00,,1 days 20:00:00,662360.3232421875
2023-07-26 14:30:00,-86,3919,3920,15450.25,15548.650390625,-8462.43359375,-0.006368854266112223,2023-07-26 13:30:00,,0 days 01:00:00,653897.8896484375
2023-07-27 15:30:00,84,3923,3928,15666.8271484375,15472.4423828125,-16328.3203125,-0.01240741113585253,2023-07-27 10:30:00,,0 days 05:00:00,637569.5693359375
2023-07-28 10:30:00,-82,3929,3930,15625.5546875,15744.705078125,-9770.33203125,-0.007625354299922282,2023-07-28 09:30:00,,0 days 01:00:00,627799.2373046875
2023-08-02 10:30:00,80,3930,3951,15695.142578125,15453.8759765625,-19301.328125,-0.015372055421705055,2023-07-28 10:30:00,,5 days 00:00:00,608497.9091796875
2023-08-10 10:30:00,-80,3971,3993,15355.7138671875,15324.8115234375,2472.1875,0.0020124328974397976,2023-08-07 09:30:00,,3 days 01:00:00,610970.0966796875
2023-08-28 10:30:00,-81,4000,4077,15077.189453125,15050.4013671875,2169.8349609375,0.0017767294110606624,2023-08-11 10:30:00,,17 days 00:00:00,613139.931640625
2023-09-13 13:30:00,-78,4151,4157,15332.740234375,15396.3173828125,-4959.017578125,-0.0041464961556554325,2023-09-12 14:30:00,,0 days 23:00:00,608180.9140625
